year,month,day,hour,Quarter,Days_since_start,Overturning_Strength
2004,8,22,12,3,143.5,25.543163
2004,8,23,0,3,144,25.533388
2004,8,23,12,3,144.5,25.452641
2004,8,24,0,3,145,25.316256
2004,8,24,12,3,145.5,25.147206
2004,8,25,0,3,146,24.97416
2004,8,25,12,3,146.5,24.828809
2004,8,26,0,3,147,24.742748
2004,8,26,12,3,147.5,24.744244
2004,8,27,0,3,148,24.855245
2004,8,27,12,3,148.5,25.088959
2004,8,28,0,3,149,25.44826
2004,8,28,12,3,149.5,25.925114
2004,8,29,0,3,150,26.501056
2004,8,29,12,3,150.5,27.148694
2004,8,30,0,3,151,27.834046
2004,8,30,12,3,151.5,28.519467
2004,8,31,0,3,152,29.166853
2004,8,31,12,3,152.5,29.740777
2004,9,1,0,3,153,30.211248
2004,9,1,12,3,153.5,30.555838
2004,9,2,0,3,154,30.760975
2004,9,2,12,3,154.5,30.82235
2004,9,3,0,3,155,30.74444
2004,9,3,12,3,155.5,30.539274
2004,9,4,0,3,156,30.224642
2004,9,4,12,3,156.5,29.821977
2004,9,5,0,3,157,29.354181
2004,9,5,12,3,157.5,28.843616
2004,9,6,0,3,158,28.310474
2004,9,6,12,3,158.5,27.771655
2004,9,7,0,3,159,27.240225
2004,9,7,12,3,159.5,26.725439
2004,9,8,0,3,160,26.233265
2004,9,8,12,3,160.5,25.767263
2004,9,9,0,3,161,25.329653
2004,9,9,12,3,161.5,24.922368
2004,9,10,0,3,162,24.547911
2004,9,10,12,3,162.5,24.20987
2004,9,11,0,3,163,23.912987
2004,9,11,12,3,163.5,23.662772
2004,9,12,0,3,164,23.464707
2004,9,12,12,3,164.5,23.323172
2004,9,13,0,3,165,23.240259
2004,9,13,12,3,165.5,23.214674
2004,9,14,0,3,166,23.240927
2004,9,14,12,3,166.5,23.308975
2004,9,15,0,3,167,23.404431
2004,9,15,12,3,167.5,23.509389
2004,9,16,0,3,168,23.603822
2004,9,16,12,3,168.5,23.667446
2004,9,17,0,3,169,23.681866
2004,9,17,12,3,169.5,23.632768
2004,9,18,0,3,170,23.511909
2004,9,18,12,3,170.5,23.318641
2004,9,19,0,3,171,23.060777
2004,9,19,12,3,171.5,22.754622
2004,9,20,0,3,172,22.424131
2004,9,20,12,3,172.5,22.09921
